source_id,source_name,iso3_country,lat,lon,capacity,capacity_units,capacity_factor
1052825,Beauregard Parish,USA,30.64976786301959,-93.34367182203748,324717.578,m^2,54.76367500807117
1053845,Beaver County,USA,36.74878908728866,-100.47722734206734,65270.914,m^2,50.067212050991046
1053958,Beaver County,USA,40.68439584332832,-80.34930040328558,2717163.583,m^2,49.291038921597384
1054487,Beaver County,USA,38.35711326251048,-113.23569099895612,91398.612,m^2,49.43339735837564
1053308,Beaverhead County,USA,45.13289215182548,-112.8988473334386,51584.669,m^2,43.04739857882969
1053026,Becker County,USA,46.935658861773554,-95.67551780322056,390614.71,m^2,45.329834183664005
1053846,Beckham County,USA,35.26791885624,-99.68191126515212,413298.29,m^2,51.15487255463845
1054541,Bedford City County,USA,37.338737201117866,-79.51953416624227,102034.999,m^2,53.01845582416285
1053959,Bedford County,USA,40.00668174068834,-78.49140690965964,340028.993,m^2,48.753305312997234
1054140,Bedford County,USA,35.51418596516871,-86.45842523059218,449849.243,m^2,53.14792499272917
1054540,Bedford County,USA,37.3171333343305,-79.52443735726828,229575.418,m^2,52.81164217677696
1054246,Bee County,USA,28.416108563799323,-97.74026817134607,353332.046,m^2,49.9533325997835
1053473,Belknap County,USA,43.51819009259186,-71.42336000510286,261364.334,m^2,46.97041664452963
1052706,Bell County,USA,36.73169199745434,-83.6737753875545,143110.636,m^2,52.333070562274635
1054247,Bell County,USA,31.03868498168557,-97.47900972783248,3634603.77,m^2,56.87359831027743
34157065,Bellingham Urban Area,USA,,,2587822.16,m^2,39.04148661629824
1053759,Belmont County,USA,40.01555699093278,-80.98786642496805,386792.789,m^2,50.097681606468626
1053027,Beltrami County,USA,47.97515535114964,-94.93725603647944,486059.002,m^2,45.059701071023476
1052260,Benewah County,USA,47.21886109414052,-116.65647283414496,82407.083,m^2,41.761027083072456
1052100,Ben Hill County,USA,31.759907720362687,-83.22065986138493,469685.248,m^2,55.51034195351181
1054075,Bennett County,USA,43.19385154510776,-101.66565649731356,21322.741,m^2,43.65523799215119
1054517,Bennington County,USA,43.0351654943757,-73.09382147308987,123711.517,m^2,47.74809582199206
1053702,Benson County,USA,48.06869818423831,-99.36708179996432,15563.968,m^2,43.16773524592186
1051954,Bent County,USA,37.95332976041924,-103.07070103800226,15277.041,m^2,48.89397829069125
1051819,Benton County,USA,36.339560841558104,-94.25827739052656,3344650.553,m^2,52.88207435403193
1052406,Benton County,USA,40.60784718807384,-87.31063544608392,86598.124,m^2,49.41267979431056
1052501,Benton County,USA,42.07999085649807,-92.06587465859512,175956.258,m^2,49.730031693445085
1053028,Benton County,USA,45.69937669692496,-93.99910235175282,611846.399,m^2,46.551039248659535
