source_name,start_time,avg(e.emissions_quantity),any_value(lat),any_value(lon),capacity,co2_per_m2
Calumet County,2021-01-01,1651.826,44.08175676656453,-88.21791679633179,616940.712,0.0027
Dutchess County,2021-01-01,11082.087,41.76513202243951,-73.74368524748697,1676807.364,0.0066
Island County,2021-01-01,1326.047,48.15843855290638,-122.56430610437664,322465.037,0.0041
Union County,2021-01-01,223.781,36.28826141453401,-83.83770423598394,34151.998,0.0066
Dallas County,2021-01-01,376.797,33.96955562261519,-92.6540133186384,92835.909,0.0041
Lawrence County,2021-01-01,1859.153,38.84242448504383,-86.48382354165769,696089.734,0.0027
Saint Johns County,2021-01-01,3222.404,29.93862238183688,-81.33668286223231,1215482.428,0.0027
Cumberland County,2021-01-01,9845.833,35.04993996158001,-78.83111046322315,3660510.554,0.0027
Gosper County,2021-01-01,41.368,40.51437539445741,-99.83045306617564,15582.786,0.0027
Alcona County,2021-01-01,52.727,44.68504473926633,-83.59420216884814,12780.544,0.0041
Pueblo County,2021-01-01,11010.81,38.17148569957296,-104.51179542634571,4077122.399,0.0027
Sauk County,2021-01-01,4487.61,43.4263269747218,-89.94954548897304,1681951.066,0.0027
Jackson County,2021-01-01,17.078,37.41989353620209,-84.0054745193314,2578.558,0.0066
Waupaca County,2021-01-01,2143.657,44.47050459528265,-88.96470935260605,793627.109,0.0027
Decatur County,2021-01-01,190.713,40.737082910509315,-93.78704153086156,46081.4,0.0041
Wagoner County,2021-01-01,1849.223,35.96149063027018,-95.5228287276914,453133.925,0.0041
Conecuh County,2021-01-01,195.249,31.42951022836845,-86.9935911498635,46988.438,0.0042
Belknap County,2021-01-01,1700.601,43.51819009259186,-71.42336000510286,261364.334,0.0065
Scurry County,2021-01-01,1222.36,32.7469887902266,-100.9175245365622,664909.759,0.0018
Sterling County,2021-01-01,21.142,31.830263376516186,-101.04826538624434,15848.914,0.0013
Knox County,2021-01-01,21555.454,35.99371118479491,-83.93681226707959,8314788.276,0.0026
East Carroll Parish,2021-01-01,175.357,32.73229545163789,-91.23525810201248,41642.214,0.0042
Harlan County,2021-01-01,96.224,40.17651156073955,-99.40414350953569,37711.119,0.0026
Moore County,2021-01-01,819.646,35.837531288332194,-101.89313585568414,812201.341,0.001
Chatham County,2021-01-01,16018.643,31.940717353536197,-81.01972851517353,11996407.863,0.0013
Nantucket County,2021-01-01,35.951,41.28423872879999,-70.08452454966908,13744.248,0.0026
Montgomery County,2021-01-01,1054.379,35.33268382678012,-79.90750731152247,252202.172,0.0042
Allen County,2021-01-01,351.304,36.751679873290584,-86.19058848689363,84564.844,0.0042
Vermilion County,2021-01-01,3245.0,40.18367200650861,-87.73336602338408,1242066.304,0.0026
Wells County,2021-01-01,1061.039,40.72961530127333,-85.22095732476014,403798.787,0.0026
Clayton County,2021-01-01,320.311,42.84402097917197,-91.33996838782944,121368.764,0.0026
Darke County,2021-01-01,1823.516,40.133531195810114,-84.62034273248689,706373.693,0.0026
Howard County,2021-01-01,228.394,39.14393280462933,-92.6981179547816,87297.562,0.0026
Garrard County,2021-01-01,112.224,37.639757910978815,-84.53800469502463,26768.924,0.0042
Musselshell County,2021-01-01,23.878,46.496248499445386,-108.39810002473426,9339.782,0.0026
Iredell County,2021-01-01,9542.494,35.81028545871875,-80.8733431030157,2260591.944,0.0042
Wayne County,2021-01-01,533.943,41.647613797641,-75.30338610881725,82682.394,0.0065
San Juan County,2021-01-01,127.643,48.55637703807598,-122.95901756472328,48892.405,0.0026
Cowley County,2021-01-01,1566.876,37.23869314714565,-96.83819784421355,594680.489,0.0026
Beltrami County,2021-01-01,2061.623,47.97515535114964,-94.93725603647944,486059.002,0.0042
Jim Hogg County,2021-01-01,14.247,27.043019967349434,-98.69867262184496,5425.575,0.0026
Jefferson Davis Parish,2021-01-01,661.385,30.269234915194637,-92.81408632740435,257256.147,0.0026
Greene County,2021-01-01,1739.642,36.11683900215909,-90.55834640211351,681152.314,0.0026
Greene County,2021-01-01,17981.476,37.25981343117127,-93.34163216422012,6962335.985,0.0026
Alpena County,2021-01-01,678.886,45.03489458889091,-83.62757185336211,259784.651,0.0026
Atchison County,2021-01-01,778.297,39.531704105135795,-95.31329724412949,299096.479,0.0026
Henry County,2021-01-01,1003.209,38.385819800223246,-93.7923746649011,385926.579,0.0026
Cedar County,2021-01-01,202.597,42.600670908859904,-97.2539160244459,78782.174,0.0026
Pearl River County,2021-01-01,1124.743,30.768698215977093,-89.58977116895012,265386.704,0.0042
Cambria County,2021-01-01,3680.118,40.49506799524763,-78.71374472937183,873403.214,0.0042
Sedgwick County,2021-01-01,28852.623,37.68481628737026,-97.46021482953194,11095337.333,0.0026
Bureau County,2021-01-01,1440.54,41.40459610840493,-89.52909222330901,551057.749,0.0026
Pike County,2021-01-01,1120.399,37.47008460938061,-82.39424327016448,169607.144,0.0066
Osceola County,2021-01-01,263.594,43.38094561953396,-95.6228773880746,196957.384,0.0013
Ellis County,2021-01-01,9886.236,32.350041629605066,-96.79597580654324,3835985.96,0.0026
Coles County,2021-01-01,3704.606,39.52130136664296,-88.22311907957847,1449698.44,0.0026
Washington County,2021-01-01,463.225,41.33538099573905,-91.71856608177924,175357.644,0.0026
McLean County,2021-01-01,106.54,37.52936353176281,-87.26361244891308,40497.443,0.0026
Crawford County,2021-01-01,1520.039,37.50772624523229,-94.8509099031543,592478.228,0.0026
Monroe County,2021-01-01,232.617,36.71283004673933,-85.7162698259465,88351.831,0.0026
Charlotte County,2021-01-01,133.123,37.01061960318108,-78.66228250793868,31511.818,0.0042
Lawrence County,2021-01-01,210.164,38.06832689077832,-82.73437363181716,31821.891,0.0066
Hopkins County,2021-01-01,1510.062,37.30886939717365,-87.54150191109991,569878.805,0.0026
Martin County,2021-01-01,1331.557,43.676600195553135,-94.5522524302899,508642.73,0.0026
Rusk County,2021-01-01,1703.071,32.10969911714078,-94.76261877933148,659272.834,0.0026
Scott County,2021-01-01,10592.299,41.637368784785515,-90.6248126099285,4137057.494,0.0026
Bedford City County,2021-01-01,425.496,37.338737201117866,-79.51953416624227,102034.999,0.0042
Banks County,2021-01-01,437.278,34.354108643574605,-83.49724794600202,103795.543,0.0042
Cameron Parish,2021-01-01,141.519,29.78590809885122,-93.23380414333135,359776.368,0.0004
Union County,2021-01-01,119.194,30.043491641633427,-82.37087052662483,28404.04,0.0042
Greene County,2021-01-01,971.53,42.27738161890313,-74.12177560670317,148699.401,0.0065
King County,2021-01-01,96016.175,47.491076160231195,-121.83491401800649,37188101.545,0.0026
Kiowa County,2021-01-01,169.513,34.91661181944838,-98.98016253176812,95006.871,0.0018
Rio Grande County,2021-01-01,307.927,37.580534757884266,-106.38297751053815,118510.158,0.0026
Burnett County,2021-01-01,406.828,45.86228701989381,-92.365915138321,97241.989,0.0042
