source_name,any_value(e.start_time),iso3_country,sum(e.emissions_quantity),capacity,co2_per_m2
Pike County,2021-01-01,USA,44299.68090000001,169607.144,0.2612
Lincoln County,2021-01-01,USA,16962.830869999994,65108.681,0.2605
Sioux County,2021-01-01,USA,230.9319,889.94,0.2595
Monroe County,2021-01-01,USA,275922.27281999995,1064696.293,0.2592
Union County,2021-01-01,USA,8849.37889,34151.998,0.2591
Grand County,2021-01-01,USA,13330.358190000006,51992.481,0.2564
Hickman County,2021-01-01,USA,7146.437050000002,27880.907,0.2563
Jefferson County,2021-01-01,USA,374.40221,1461.858,0.2561
Berkshire County,2021-01-01,USA,226418.26360999997,885049.729,0.2558
Noble County,2021-01-01,USA,12101.073889999998,47423.982,0.2552
Boundary County,2021-01-01,USA,14207.314309999998,55669.932,0.2552
Addison County,2021-01-01,USA,47623.52602,187239.982,0.2543
Tallahatchie County,2021-01-01,USA,3548.95579,13960.298,0.2542
Huntingdon County,2021-01-01,USA,38183.156709999996,150548.254,0.2536
Wayne County,2021-01-01,USA,114935.78622000002,453361.197,0.2535
Barbour County,2021-01-01,USA,3185.1718800000012,12600.835,0.2528
Pickens County,2021-01-01,USA,37086.25401999999,146796.514,0.2526
Dawson County,2021-01-01,USA,57342.31544999998,227313.455,0.2523
Hancock County,2021-01-01,USA,1071.6893299999997,4256.306,0.2518
Cheshire County,2021-01-01,USA,105106.41338999997,417666.467,0.2517
Tioga County,2021-01-01,USA,46731.755240000006,186184.821,0.251
Bristol Bay Borough,2021-01-01,USA,2272.20227,9063.178,0.2507
Mecosta County,2021-01-01,USA,60634.76663999999,241831.196,0.2507
Litchfield County,2021-01-01,USA,163653.32326000003,653058.05,0.2506
Lawrence County,2021-01-01,USA,34762.122760000006,138709.594,0.2506
Lee County,2021-01-01,USA,2467.7663199999997,9858.844,0.2503
Elbert County,2021-01-01,USA,10841.83329,43326.2,0.2502
Anchorage Municipality,2021-01-01,USA,823302.7332000001,3290770.503,0.2502
Franklin County,2021-01-01,USA,88029.40477,352110.828,0.25
Park County,2021-01-01,USA,25173.85164000001,100770.152,0.2498
Edgefield County,2021-01-01,USA,15421.92732,61867.809,0.2493
Wright County,2021-01-01,USA,332732.32933,1335293.541,0.2492
Gogebic County,2021-01-01,USA,14672.39154,58972.206,0.2488
Adams County,2021-01-01,USA,714.3217799999999,2871.98,0.2487
Skamania County,2021-01-01,USA,11184.729439999997,45195.562,0.2475
Calvert County,2021-01-01,USA,174690.16554999995,705707.719,0.2475
Thurston County,2021-01-01,USA,5348.692329999998,21641.946,0.2471
Fauquier County,2021-01-01,USA,67472.83541,273313.609,0.2469
Ashe County,2021-01-01,USA,13834.582129999997,56240.228,0.246
Yancey County,2021-01-01,USA,15940.137819999998,64979.662,0.2453
Pulaski County,2021-01-01,USA,60766.48370999997,247946.939,0.2451
Craig County,2021-01-01,USA,53.92639,220.248,0.2448
Mitchell County,2021-01-01,USA,30967.51101,126685.549,0.2444
Crowley County,2021-01-01,USA,4056.3228299999996,16596.376,0.2444
Washington County,2021-01-01,USA,127739.90487000006,523621.296,0.244
Bamberg County,2021-01-01,USA,5732.16226,23498.597,0.2439
Roscommon County,2021-01-01,USA,14734.56292,60540.38,0.2434
Clay County,2021-01-01,USA,4157.204840000001,17096.19,0.2432
Blaine County,2021-01-01,USA,2779.32684,11435.066,0.2431
Perry County,2021-01-01,USA,9503.47392,39085.634,0.2431
Fayette County,2021-01-01,USA,63005.35413,260177.268,0.2422
Lumpkin County,2021-01-01,USA,45946.59774,189805.591,0.2421
Sublette County,2021-01-01,USA,13078.428639999998,54050.349,0.242
Baraga County,2021-01-01,USA,8863.81412,36666.17,0.2417
Potter County,2021-01-01,USA,15578.065620000003,64445.595,0.2417
Mille Lacs County,2021-01-01,USA,35284.82076999999,145992.702,0.2417
Nashua Urban Area,2021-01-01,USA,380113.03153,1573210.992,0.2416
Jefferson County,2021-01-01,USA,9838.77779,40882.252,0.2407
Lake County,2021-01-01,USA,6127.24784,25472.26,0.2405
Greenlee County,2021-01-01,USA,10396.531599999997,43277.075,0.2402
Braxton County,2021-01-01,USA,7380.62828,30737.623,0.2401
Anchorage Urban Area,2021-01-01,USA,777939.5458299998,3241699.864,0.24
Lamoille County,2021-01-01,USA,27746.067079999993,115634.137,0.2399
Livingston County,2021-01-01,USA,345820.3609300001,1443495.022,0.2396
Charles City County,2021-01-01,USA,4287.597519999999,17905.844,0.2395
Blaine County,2021-01-01,USA,31160.693769999994,130145.01,0.2394
Fluvanna County,2021-01-01,USA,18906.520010000004,79019.373,0.2393
Piscataquis County,2021-01-01,USA,15805.102439999997,66108.846,0.2391
Custer County,2021-01-01,USA,5100.721339999999,21335.793,0.2391
Liberty County,2021-01-01,USA,802.3150199999999,3359.969,0.2388
Hampshire County,2021-01-01,USA,9403.272420000001,39403.934,0.2386
Rockingham County,2021-01-01,USA,663934.7951299999,2794049.212,0.2376
Pamlico County,2021-01-01,USA,2030.1156000000008,8548.879,0.2375
Butte County,2021-01-01,USA,11265.13516,47646.21,0.2364
Mc Kean County,2021-01-01,USA,47567.413420000004,201297.229,0.2363
Grand Isle County,2021-01-01,USA,1723.58602,7320.036,0.2355
Lauderdale County,2021-01-01,USA,63973.544439999976,271622.799,0.2355
Washington County,2021-01-01,USA,16979.62958,72134.937,0.2354
Lincoln County,2021-01-01,USA,2440.4071999999987,10370.64,0.2353
Magoffin County,2021-01-01,USA,3992.5117600000003,16966.381,0.2353
Nelson County,2021-01-01,USA,3426.5869700000003,14570.519,0.2352
Greene County,2021-01-01,USA,6912.672500000001,29422.147,0.2349
Mineral County,2021-01-01,USA,1566.0916400000003,6670.097,0.2348
Benson County,2021-01-01,USA,3652.9000800000003,15563.968,0.2347
Allegany County,2021-01-01,USA,35283.207259999996,150450.023,0.2345
Orange County,2021-01-01,USA,736712.6957500001,3147685.686,0.234
Clifton Forge City Independent City,2021-01-01,USA,5789.048280000003,24749.941,0.2339
Lake Superior,2021-01-01,USA,19478.158129999996,83374.712,0.2336
Saint Mary's County,2021-01-01,USA,115450.65611999999,494227.069,0.2336
Merrimack County,2021-01-01,USA,258042.01392,1106034.999,0.2333
Franklin County,2021-01-01,USA,43171.833559999985,185813.514,0.2323
Clay County,2021-01-01,USA,211582.38257999995,910949.471,0.2323
Webster County,2021-01-01,USA,2483.1414200000004,10700.41,0.2321
Cattaraugus County,2021-01-01,USA,94441.05629999998,407049.364,0.232
Ohio County,2021-01-01,USA,94020.62559999997,405527.634,0.2318
Spencer County,2021-01-01,USA,5412.23111,23410.316,0.2312
Harris County,2021-01-01,USA,16579.33621,71714.758,0.2312
Susquehanna County,2021-01-01,USA,8589.525570000002,37176.237,0.231
Garfield County,2021-01-01,USA,71200.83701000002,308796.033,0.2306
Roane County,2021-01-01,USA,3102.71658,13459.471,0.2305
Nicholas County,2021-01-01,USA,3513.045519999999,15240.742,0.2305
Stafford County,2021-01-01,USA,137987.88151000004,599406.442,0.2302
Rensselaer County,2021-01-01,USA,243780.10751999993,1060173.264,0.2299
Grant Parish,2021-01-01,USA,3999.444080000002,17403.785,0.2298
Albany County,2021-01-01,USA,97783.52282000001,426218.338,0.2294
Tompkins County,2021-01-01,USA,226354.31566000005,987226.657,0.2293
Provo Urban Area,2021-01-01,USA,1674648.8831600007,7304522.306,0.2293
Centre County,2021-01-01,USA,318663.4268499999,1390512.787,0.2292
Perquimans County,2021-01-01,USA,1790.8227000000009,7812.911,0.2292
Tioga County,2021-01-01,USA,30254.81189,131974.265,0.2292
Lassen County,2021-01-01,USA,27804.74659,121526.687,0.2288
Utah County,2021-01-01,USA,1687299.9176100001,7385982.846,0.2284
Long County,2021-01-01,USA,3954.795620000001,17353.496,0.2279
Echols County,2021-01-01,USA,2915.6438,12795.971,0.2279
Cameron County,2021-01-01,USA,8633.82816,37913.567,0.2277
Richmond County,2021-01-01,USA,611674.4736400001,2686492.311,0.2277
Hancock County,2021-01-01,USA,3560.073820000002,15645.901,0.2275
Meade County,2021-01-01,USA,13474.644349999997,59334.638,0.2271
McIntosh County,2021-01-01,USA,8878.37337,39096.833,0.2271
Cortland County,2021-01-01,USA,47566.5431,209449.671,0.2271
State College Urban Area,2021-01-01,USA,300699.78599,1325511.961,0.2269
Lincoln County,2021-01-01,USA,6914.9487899999995,30508.874,0.2267
Westchester County,2021-01-01,USA,1127273.5167299998,4971982.49,0.2267
Cass County,2021-01-01,USA,15115.957150000004,66830.1,0.2262
Yalobusha County,2021-01-01,USA,1933.3927099999999,8546.671,0.2262
Bath County,2021-01-01,USA,2301.0849900000003,10175.347,0.2261
Iron County,2021-01-01,USA,3778.473230000001,16740.889,0.2257
Bennett County,2021-01-01,USA,4811.004959999999,21322.741,0.2256
Warren County,2021-01-01,USA,239240.13570999991,1060972.006,0.2255
Quitman County,2021-01-01,USA,2700.1024799999996,11971.939,0.2255
Brown County,2021-01-01,USA,7247.239659999998,32157.463,0.2254
Lewis County,2021-01-01,USA,3817.8221299999996,16959.232,0.2251
Crockett County,2021-01-01,USA,7045.45884,31389.445,0.2245
Graham County,2021-01-01,USA,9684.899939999996,43170.98,0.2243
Rabun County,2021-01-01,USA,23984.344419999998,106967.344,0.2242
Framingham Urban Area,2021-01-01,USA,538917.61122,2403642.192,0.2242
Belmont County,2021-01-01,USA,86659.88666000002,386792.789,0.224
Presque Isle County,2021-01-01,USA,4376.54126,19534.103,0.224
Meriwether County,2021-01-01,USA,11985.195460000004,53595.903,0.2236
Gilmer County,2021-01-01,USA,16182.517289999998,72537.744,0.2231
White County,2021-01-01,USA,18989.026470000004,85267.565,0.2227
Oxford County,2021-01-01,USA,75267.19619000003,338475.223,0.2224
Livingston County,2021-01-01,USA,58817.50551999999,264569.672,0.2223
Watauga County,2021-01-01,USA,86353.97083,388766.13,0.2221
Manassas Park Independent City,2021-01-01,USA,63018.02279000001,283834.653,0.222
Clarke County,2021-01-01,USA,4218.27665,19008.853,0.2219
Oscoda County,2021-01-01,USA,6726.630280000001,30371.537,0.2215
Crawford County,2021-01-01,USA,8341.590559999999,37684.79,0.2214
Holmes County,2021-01-01,USA,2810.512039999999,12705.494,0.2212
Oldham County,2021-01-01,USA,74745.30854000003,338778.654,0.2206
Grainger County,2021-01-01,USA,13281.865600000001,60260.443,0.2204
Polk County,2021-01-01,USA,7371.014940000001,33530.665,0.2198
Isanti County,2021-01-01,USA,76343.24937000003,347589.926,0.2196
Geauga County,2021-01-01,USA,132285.89556,602437.303,0.2196
Wibaux County,2021-01-01,USA,400.38939999999997,1825.078,0.2194
Lawrence Urban Area,2021-01-01,USA,685322.80466,3125909.139,0.2192
Sherburne County,2021-01-01,USA,242095.50682,1105431.412,0.219
Leelanau County,2021-01-01,USA,6978.034469999999,31868.425,0.219
Vinton County,2021-01-01,USA,5111.986060000001,23369.643,0.2187
Lowell Urban Area,2021-01-01,USA,516053.58475,2360068.215,0.2187
Iron County,2021-01-01,USA,16132.512560000001,73915.657,0.2183
Russell County,2021-01-01,USA,13421.807300000004,61647.672,0.2177
Lake and Peninsula Borough,2021-01-01,USA,114.73840999999997,527.878,0.2174
Venango County,2021-01-01,USA,84248.92129999999,387796.623,0.2173
Philadelphia County,2021-01-01,USA,3126533.413579999,14396553.306,0.2172
Jefferson County,2021-01-01,USA,5090.440899999998,23505.129,0.2166
